pop,W,w0,w1,n_units,is_stationary,cv,drift,pv,cv2,vr,nwin,flags
DG,300.0,4200.0,4500.0,10,False,0.6582134969411666,0.016024242424242423,0.0034143194699234134,0.6538891579381294,8.314544392523368,10,population_rate_cv=0.658 > 0.3;rate_drift p=0.00341 < 0.01 (slope=0.016 Hz/s);rolling_var_ratio=8.31 > 3.0
DG,300.0,4500.0,4800.0,10,False,0.8053483021451336,0.06616296296296297,0.006236767178233062,0.7125774159449703,19.502696850393704,10,population_rate_cv=0.805 > 0.3;rate_drift p=0.00624 < 0.01 (slope=0.0662 Hz/s);rolling_var_ratio=19.50 > 3.0
DG,300.0,4800.0,5100.0,10,False,2.668467376828102,-0.03276228956228957,0.06793584374826248,0.7529507434719498,3.975315928186876,10,population_rate_cv=2.668 > 0.3;rolling_var_ratio=3.98 > 3.0
DG,600.0,0.0,600.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,600.0,1200.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,1200.0,1800.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,1800.0,2400.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,2400.0,3000.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,3000.0,3600.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,3600.0,4200.0,10,True,0.0,0.0,1.0,,1.0,20,
DG,600.0,4200.0,4800.0,10,False,1.0535081938843143,0.02705831244778613,0.00012494485672801602,0.7172145025125028,361.6884491822431,20,population_rate_cv=1.054 > 0.3;rate_drift p=0.000125 < 0.01 (slope=0.0271 Hz/s);rolling_var_ratio=361.69 > 3.0
DG,1200.0,0.0,1200.0,10,True,0.0,0.0,1.0,,1.0,40,
DG,1200.0,1200.0,2400.0,10,True,0.0,0.0,1.0,,1.0,40,
DG,1200.0,2400.0,3600.0,10,True,0.0,0.0,1.0,,1.0,40,
DG,1200.0,3600.0,4800.0,10,False,1.7856324248344464,0.010942338961851155,2.799260156776317e-07,0.7172145025125028,361.6884491822431,40,population_rate_cv=1.786 > 0.3;rate_drift p=2.8e-07 < 0.01 (slope=0.0109 Hz/s);rolling_var_ratio=361.69 > 3.0
VPM,300.0,0.0,300.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,300.0,600.0,17,False,1.0577183493034894,0.021986928104575164,0.0005416346372241283,0.7289035034925796,4.565086261980829,10,population_rate_cv=1.058 > 0.3;rate_drift p=0.000542 < 0.01 (slope=0.022 Hz/s);rolling_var_ratio=4.57 > 3.0
VPM,300.0,600.0,900.0,17,False,0.8337476278194379,-0.015116656763715588,0.014620935606957666,0.7656578830129795,206.04409603135713,10,population_rate_cv=0.834 > 0.3;rolling_var_ratio=206.04 > 3.0
VPM,300.0,900.0,1200.0,17,False,1.199809588941094,-0.007085363438304616,0.001293795592434525,0.7756229052333514,13.449095022624446,10,population_rate_cv=1.200 > 0.3;rate_drift p=0.00129 < 0.01 (slope=-0.00709 Hz/s);rolling_var_ratio=13.45 > 3.0
VPM,300.0,1200.0,1500.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,1500.0,1800.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,1800.0,2100.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,2100.0,2400.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,2400.0,2700.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,2700.0,3000.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,3000.0,3300.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,3300.0,3600.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,3600.0,3900.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,3900.0,4200.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,4200.0,4500.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,4500.0,4800.0,17,True,0.0,0.0,1.0,,1.0,10,
VPM,300.0,4800.0,5100.0,17,False,0.927474948679415,0.05914517726282433,0.008947761044212748,0.759515425588663,18.557453965044452,10,population_rate_cv=0.927 > 0.3;rate_drift p=0.00895 < 0.01 (slope=0.0591 Hz/s);rolling_var_ratio=18.56 > 3.0
VPM,600.0,0.0,600.0,17,False,1.7811240069171983,0.0080390191164185,0.00011533470328959741,0.7289035034925796,4.565086261980829,20,population_rate_cv=1.781 > 0.3;rate_drift p=0.000115 < 0.01 (slope=0.00804 Hz/s);rolling_var_ratio=4.57 > 3.0
VPM,600.0,600.0,1200.0,17,False,1.1268614452756542,-0.006782593739250088,0.0001416075932397352,0.7611269710646882,211.43086978381118,20,population_rate_cv=1.127 > 0.3;rate_drift p=0.000142 < 0.01 (slope=-0.00678 Hz/s);rolling_var_ratio=211.43 > 3.0
VPM,600.0,1200.0,1800.0,17,True,0.0,0.0,1.0,,1.0,20,
VPM,600.0,1800.0,2400.0,17,True,0.0,0.0,1.0,,1.0,20,
VPM,600.0,2400.0,3000.0,17,True,0.0,0.0,1.0,,1.0,20,
VPM,600.0,3000.0,3600.0,17,True,0.0,0.0,1.0,,1.0,20,
VPM,600.0,3600.0,4200.0,17,True,0.0,0.0,1.0,,1.0,20,
VPM,600.0,4200.0,4800.0,17,True,0.0,0.0,1.0,,1.0,20,
VPM,1200.0,0.0,1200.0,17,False,1.4001859323856019,0.0006137843505131881,0.4467802686028348,0.7533559108377851,211.43086978381118,40,population_rate_cv=1.400 > 0.3;rolling_var_ratio=211.43 > 3.0
VPM,1200.0,1200.0,2400.0,17,True,0.0,0.0,1.0,,1.0,40,
VPM,1200.0,2400.0,3600.0,17,True,0.0,0.0,1.0,,1.0,40,
VPM,1200.0,3600.0,4800.0,17,True,0.0,0.0,1.0,,1.0,40,
